agenda,kategori_harian_id,user_id,status,detail_kerja,poin,date
koordinasi spv ekspedisi,1.0,15.0,Selesai,request permintaan pemindahan barang,2.0,2025-01-30
koordinasi spv operasional sumatra,1.0,15.0,Belum Selesai,naik daya stokis padang,0.0,2025-01-30
evaluasi OB ,2.0,15.0,Selesai,evaluasi terkait kinerja dan disipllin,2.0,2025-01-30
serah terima aset,1.0,15.0,Selesai,serah terima kebutuhan service,2.0,2025-01-30
meeting bulanan ,3.0,9.0,Selesai,membahas swot dan audit bulanan,2.0,2025-01-30
metting buat ruang cctv,3.0,9.0,Selesai,membahas metting tentang denah cctv,2.0,2025-01-30
update spreatsheat data waiting list ,3.0,9.0,Selesai,update pekerjaan yang belum selesai,2.0,2025-01-30
update spreatsheat data maintenance ,3.0,9.0,Selesai,update pekerjaan yang selesai,2.0,2025-01-30
monitoring ke group komplen ,3.0,9.0,Selesai,koordinasi divisi terkait dan tim untuk perbaikan ,2.0,2025-01-30
monitoring pengajuan ,3.0,9.0,Selesai,megajukan barang ,2.0,2025-01-30
koordinasi dengan manager finance,1.0,15.0,Selesai,pemindahan barang barang kardus bekas bongkar barang ,2.0,2025-01-31
koordinasi dengan spv poultry,1.0,15.0,Progres,solusi pembuatan memo kerusakan timbangan besar,0.0,2025-01-31
pembuatan memo surat peringatan OB,1.0,15.0,Selesai,kelalaian tanggung jawab pekerjaan,2.0,2025-01-31
koordinasi dengan spv ekspedisi,1.0,15.0,Selesai,pemindahan material gipsum dan sisa bajaringan untuk ruangan admin cibereum,2.0,2025-01-31
koordinasi dengan spv busdev,1.0,15.0,Progres,perbaikan ex holding cikarang,0.0,2025-01-31
serah terima barang dengan aset,1.0,15.0,Selesai,serah terima  barang penunjang pebaikan dan rutinan team service ada barang yang di return,2.0,2025-01-31
koordinasi dengan PO finance,1.0,15.0,Selesai,pembelian freon 404a untuk stock mesin chiller,2.0,2025-01-31
koordinasi vendor timbangan besar,1.0,15.0,Selesai,konfirmasi terkait pembelian dan service timbangn poultry,2.0,2025-01-31
Pengukuran ruang admin baru ,1.0,9.0,Selesai,mengukur ruang an untuk pembuatan gambar 3D,2.0,2025-01-31
pengukuran ruang admin lama buat di buat ruang cctv,1.0,9.0,Selesai,mengukur ruang an untuk pembuatan gambar 3D,2.0,2025-01-31
pembuatan gambar ruang admin baru ,1.0,9.0,Selesai,pembuatan gambar 3D ,2.0,2025-01-31
pembuatan gambar ruang admin buat di jadikan ruang cctv,1.0,9.0,Selesai,pembuatan gambar 3D ,2.0,2025-01-31
koordinasi sama tim untuk renovasi ruang admin lama,1.0,9.0,Selesai,penutupan lubang dan pengomponan dan pengecetan ,2.0,2025-01-31
monitoring ke group komplen ,3.0,9.0,Selesai,koordinasi divisi terkait dan tim untuk perbaikan ,2.0,2025-01-31
pembuatan RAB  Ruang cctv,1.0,9.0,Progres,pembuatan RAb dan ada revisi ,2.0,2025-01-31
pembuatan RAB  Ruang admin,1.0,9.0,Progres,pembuatan RAb dan ada revisi ,2.0,2025-01-31
koordinasi bersama teknisi di ciberum,,9.0,Selesai,koordinasi bersama tim teknisi untuk pembuatan ruang PIC,2.0,2025-01-31
update spreatsheat data waiting list ,3.0,9.0,Selesai,update pekerjaan yang belum selesai,2.0,2025-01-31
update spreatsheat data maintenance ,3.0,9.0,Selesai,update pekerjaan yang selesai,2.0,2025-01-31
koordinasi divisi keamanan,,9.0,Selesai,koordinasi sama bapak eko untuk penempatan monitor cctv ,2.0,2025-01-31
perbaikan exsos,,9.0,Selesai,pengencangan baut exsos yang sudah rusak dan pembuatan lubang baru ,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,dikarenakan ada yang cuti ,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
back up BRP ( FINANCE ),3.0,17.0,Selesai,,2.0,2025-01-31
pembuatan memo ruang cctv,,9.0,Selesai,pembuatan memo untuk ruang cctv dan pembuatan memo perindahan ruang admin ke ruang baru,2.0,2025-02-01
pemasangan lampu di kemitraan ,3.0,9.0,Selesai,pemasangan lampu di area dapur ,2.0,2025-02-01
update spreatsheat data waiting list ,3.0,9.0,Selesai,update pekerjaan yang belum selesai,2.0,2025-02-01
update spreatsheat data maintenance ,3.0,9.0,Selesai,update pekerjaan yang selesai,2.0,2025-02-01
monitoring ke group komplen ,3.0,9.0,Selesai,koordinasi divisi terkait dan tim untuk perbaikan ,2.0,2025-02-01
koordinasi ke stokis surabaya ,,9.0,Selesai,koordinasi divisi terkait dan tim untuk perbaikan ,2.0,2025-02-01
pengecekan area ciberum ,1.0,9.0,Selesai,koordinasi bersama tim dan pekerjaan ,2.0,2025-02-01
update data timeline GA 2025,,9.0,Selesai,update time line 2025 untuk renovasi gudang bandung ,2.0,2025-02-01
back up sift siang BRP ( FINANCE),3.0,17.0,Selesai,karena sift siang belum yang handle ,2.0,2025-02-01
koordinasi dengan tim,3.0,17.0,Selesai,koordinasi dengan tim terkait pengajuan barang ,2.0,2025-02-01
koordinasi dengan tim,3.0,17.0,Selesai,koordinasi dengan tim terkait GC/General cleaning di ruang meting ,2.0,2025-02-01
koordinasi dengan finance ,3.0,17.0,Selesai,koordinasi dengan divisi finance terkait LPJ,2.0,2025-02-01
update spreatsheat ,3.0,17.0,Selesai,Merekap Data Ceklisan Office BoY dan C,2.0,2025-02-01
pengecekan area kantor tsp,1.0,17.0,Selesai,pengecekan kebersihan area kantor tsp ,2.0,2025-02-01
pengecekan area kantor kemitraan ,1.0,17.0,Selesai,pengecekan kebersihan area kantor kemitraan ,2.0,2025-02-01
pengecekan motor oprasional,1.0,17.0,Selesai,koordinasi  ke finace untuk pencucian motor ,2.0,2025-02-01
Pemantauan Grup Cleaning dan OB,1.0,17.0,Selesai,Pemantauan Grup Cleaning dan OB terkait pekerjaan ,2.0,2025-02-01
koordinasi manager finance,1.0,15.0,Selesai,pemakaian ruang meeting mendadak,2.0,2025-02-03
koordinasi divisi aset,1.0,15.0,Selesai,pengajuan kebutuhan team service dan serahterima barang,2.0,2025-02-03
koordinasi dengan spv poultry,1.0,15.0,Selesai,solusi pembuatan memo kerusakan timbangan besar,2.0,2025-02-03
koordinasi dengan spv busdev,1.0,15.0,Selesai,perbaikan ex holding cikarang,2.0,2025-02-03
Pembuatan jadwal team serrvice,1.0,15.0,Selesai,jadwal shift team service bulan februari,2.0,2025-02-03
Pembagian kalender 2025,1.0,15.0,Selesai,mengatur skema pembagian kalender setiap unit dan divisi,2.0,2025-02-03
Pimpin breafing pagi,2.0,15.0,Selesai,penyampaian agenda harian dan penerangan  SK kehadiran ,2.0,2025-02-03
koordinasi spv poultry,,15.0,Progres,perbaikan pintu chiller yang masuk tikus,2.0,2025-02-03
